brand_name,pants_description,price,MRP,discount_percent,ratings,number_of_ratings,price_num,MRP_num,Number_of_Ratings_num,Fit_Type,is_duplicate
Flying Machine,Men Slim Fit Jeans,1471.0,2299.0,0.36,4.2,37.0,1471.0,2299.0,370,Slim,False
HIGHLANDER,Men Tapered Fit Jeans,769.0,1149.0,0.33,3.6,2100.0,769.0,1149.0,21000,Tapered,False
Roadster,Men Straight Fit Jeans,1074.0,2499.0,0.57,3.9,58.0,1074.0,2499.0,580,Straight Fit,False
Mufti,Men Skinny Fit Jeans,2099.0,4199.0,0.5,3.9,58.0,2099.0,4199.0,580,Skinny,False
Roadster,Men Cotton Straight Fit Jeans,979.0,3499.0,0.72,3.5,195.0,979.0,3499.0,1950,Straight Fit,False
The Indian Garage Co,Men Relaxed Fit Jeans,857.0,2599.0,0.67,3.7,328.0,857.0,2599.0,3280,Relaxed,False
Mufti,Men Slim Fit Stretchable Jeans,1434.0,3499.0,0.59,3.7,328.0,1434.0,3499.0,3280,Slim,False
Roadster,Baggy Jeans,874.0,2499.0,0.65,3.6,14.0,874.0,2499.0,140,Other,False
glitchez,Men Wide Leg Jeans,725.0,2199.0,0.67,3.6,68.0,725.0,2199.0,680,Wide Leg,False
Roadster,Men Slim Fit Mid-Rise Jeans,645.0,1699.0,0.62,3.3,15.0,645.0,1699.0,150,Slim,True
WROGN,Men Relaxed Fit Jeans,1049.0,2999.0,0.65,4.6,23.0,1049.0,2999.0,230,Relaxed,False
Levis,Men Slim Fit Mid-Rise Jeans,1304.0,2899.0,0.55,4.1,232.0,1304.0,2899.0,2320,Slim,False
Flying Machine,Men Slim Fit Jeans,2134.0,3499.0,0.39,4.1,232.0,2134.0,3499.0,2320,Slim,False
Thomas Scott,Men Relaxed Fit Cotton Jeans,999.0,2599.0,16.0,3.9,1300.0,999.0,2599.0,13000,Relaxed,False
Red Tape,Men Skinny Fit Jeans,1311.0,6399.0,50.88,4.1,359.0,1311.0,6399.0,3590,Skinny,False
